onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fc_ole	fc_ole	3
28.715	22.5	judge_fc_ole	fc_ole	3
51.215	1.423	rate_fc_ole	fc_ole	3
55.503	29.14	rinse	n/a	n/a
84.669	2	warning_star	n/a	n/a
86.68	7.522	taste_and_swallow_fc_cap	fc_cap	2
94.202	22.5	judge_fc_cap	fc_cap	2
116.702	1.138	rate_fc_cap	fc_cap	2
120.721	29.14	rinse	n/a	n/a
149.888	2	warning_star	n/a	n/a
151.899	7.522	taste_and_swallow_fc_peg	fc_peg	5
159.421	22.5	judge_fc_peg	fc_peg	5
181.921	0.602	rate_fc_peg	fc_peg	5
185.388	29.14	rinse	n/a	n/a
214.571	2	warning_star	n/a	n/a
216.581	7.522	taste_and_swallow_fm_apr	fm_apr	3
224.104	22.5	judge_fm_apr	fm_apr	3
246.604	0.451	rate_fm_apr	fm_apr	3
249.904	25	rinse	n/a	n/a
294.064	2	warning_star	n/a	n/a
296.074	7.522	taste_and_swallow_fm_van	fm_van	2
303.596	22.5	judge_fm_van	fm_van	2
326.096	0.837	rate_fm_van	fm_van	2
329.782	29.14	rinse	n/a	n/a
358.914	2	warning_star	n/a	n/a
360.924	7.522	taste_and_swallow_fm_neu	fm_neu	1
368.446	22.5	judge_fm_neu	fm_neu	1
390.946	1.105	rate_fm_neu	fm_neu	1
394.9	29.14	rinse	n/a	n/a
424.032	2	warning_star	n/a	n/a
426.043	7.522	taste_and_swallow_fc_cap	fc_cap	2
433.565	22.5	judge_fc_cap	fc_cap	2
456.065	1.054	rate_fc_cap	fc_cap	2
459.968	29.14	rinse	n/a	n/a
489.117	2	warning_star	n/a	n/a
491.128	7.522	taste_and_swallow_fm_apr	fm_apr	3
498.65	22.5	judge_fm_apr	fm_apr	3
521.15	1.423	rate_fm_apr	fm_apr	3
525.405	25	rinse	n/a	n/a
569.531	2	warning_star	n/a	n/a
571.542	7.522	taste_and_swallow_fm_neu	fm_neu	1
579.064	22.5	judge_fm_neu	fm_neu	1
601.564	1.037	rate_fm_neu	fm_neu	1
605.45	29.14	rinse	n/a	n/a
634.599	2	warning_star	n/a	n/a
636.61	7.522	taste_and_swallow_fc_ole	fc_ole	5
644.132	22.5	judge_fc_ole	fc_ole	5
666.632	0.803	rate_fc_ole	fc_ole	5
670.301	29.14	rinse	n/a	n/a
699.433	2	warning_star	n/a	n/a
701.443	7.522	taste_and_swallow_fc_peg	fc_peg	4
708.966	22.5	judge_fc_peg	fc_peg	4
731.466	0.836	rate_fc_peg	fc_peg	4
735.134	29.14	rinse	n/a	n/a
764.283	2	warning_star	n/a	n/a
766.294	7.522	taste_and_swallow_fm_van	fm_van	2
773.816	22.5	judge_fm_van	fm_van	2
796.316	0.753	rate_fm_van	fm_van	2
799.918	25	rinse	n/a	n/a
