onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.193	7.522	taste_and_swallow_fm_apr	fm_apr	3
28.716	22.5	judge_fm_apr	fm_apr	3
51.216	0.719	rate_fm_apr	fm_apr	3
54.783	29.14	rinse	n/a	n/a
83.932	2	warning_star	n/a	n/a
85.943	7.522	taste_and_swallow_fc_ole	fc_ole	4
93.465	22.5	judge_fc_ole	fc_ole	4
115.965	1.724	rate_fc_ole	fc_ole	4
120.538	29.14	rinse	n/a	n/a
149.687	2	warning_star	n/a	n/a
151.698	7.522	taste_and_swallow_fm_van	fm_van	1
159.22	22.5	judge_fm_van	fm_van	1
181.72	0.937	rate_fm_van	fm_van	1
185.505	29.14	rinse	n/a	n/a
214.672	2	warning_star	n/a	n/a
216.682	7.522	taste_and_swallow_fc_cap	fc_cap	2
224.204	22.5	judge_fc_cap	fc_cap	2
246.704	0.837	rate_fc_cap	fc_cap	2
250.407	25	rinse	n/a	n/a
294.583	2	warning_star	n/a	n/a
296.593	7.522	taste_and_swallow_fm_neu	fm_neu	1
304.115	22.5	judge_fm_neu	fm_neu	1
326.615	1.005	rate_fm_neu	fm_neu	1
330.468	29.14	rinse	n/a	n/a
359.635	2	warning_star	n/a	n/a
361.645	7.522	taste_and_swallow_fc_peg	fc_peg	5
369.167	22.5	judge_fc_peg	fc_peg	5
391.667	0.502	rate_fc_peg	fc_peg	5
395.001	29.14	rinse	n/a	n/a
424.116	2	warning_star	n/a	n/a
426.127	7.522	taste_and_swallow_fm_neu	fm_neu	2
433.649	22.5	judge_fm_neu	fm_neu	2
456.149	0.636	rate_fm_neu	fm_neu	2
459.633	29.14	rinse	n/a	n/a
488.749	2	warning_star	n/a	n/a
490.759	7.522	taste_and_swallow_fm_van	fm_van	2
498.281	22.5	judge_fm_van	fm_van	2
520.781	0.72	rate_fm_van	fm_van	2
524.35	25	rinse	n/a	n/a
568.509	2	warning_star	n/a	n/a
570.52	7.522	taste_and_swallow_fm_apr	fm_apr	3
578.042	22.5	judge_fm_apr	fm_apr	3
600.542	0.569	rate_fm_apr	fm_apr	3
603.943	29.14	rinse	n/a	n/a
633.058	2	warning_star	n/a	n/a
635.069	7.522	taste_and_swallow_fc_peg	fc_peg	4
642.591	22.5	judge_fc_peg	fc_peg	4
665.091	0.837	rate_fc_peg	fc_peg	4
668.777	29.14	rinse	n/a	n/a
697.942	2	warning_star	n/a	n/a
699.953	7.522	taste_and_swallow_fc_cap	fc_cap	3
707.475	22.5	judge_fc_cap	fc_cap	3
729.975	0.434	rate_fc_cap	fc_cap	3
733.258	29.14	rinse	n/a	n/a
762.441	2	warning_star	n/a	n/a
764.451	7.522	taste_and_swallow_fc_ole	fc_ole	5
771.973	22.5	judge_fc_ole	fc_ole	5
794.473	0.469	rate_fc_ole	fc_ole	5
797.79	25	rinse	n/a	n/a
