onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	3.5	taste_fc_ole	fc_ole	5
24.692	4	swallow_fc_ole	fc_ole	5
28.714	22.5	judge_fc_ole	fc_ole	5
51.214	1.708	rate_fc_ole	fc_ole	5
55.821	29.14	rinse	n/a	n/a
84.954	2	warning_star	n/a	n/a
86.964	3.5	taste_fc_cap	fc_cap	5
90.464	4	swallow_fc_cap	fc_cap	5
94.486	22.5	judge_fc_cap	fc_cap	5
116.986	1.072	rate_fc_cap	fc_cap	5
120.89	29.14	rinse	n/a	n/a
150.056	2	warning_star	n/a	n/a
152.066	3.5	taste_fc_peg	fc_peg	4
155.566	4	swallow_fc_peg	fc_peg	4
159.605	22.5	judge_fc_peg	fc_peg	4
182.105	2.697	rate_fc_peg	fc_peg	4
187.65	29.14	rinse	n/a	n/a
216.8	2	warning_star	n/a	n/a
218.81	3.5	taste_fm_apr	fm_apr	3
222.31	4	swallow_fm_apr	fm_apr	3
226.349	22.5	judge_fm_apr	fm_apr	3
248.849	1.607	rate_fm_apr	fm_apr	3
253.305	25	rinse	n/a	n/a
297.448	2	warning_star	n/a	n/a
299.459	3.5	taste_fm_van	fm_van	3
302.959	4	swallow_fm_van	fm_van	3
306.981	22.5	judge_fm_van	fm_van	3
329.481	1.708	rate_fm_van	fm_van	3
334.037	29.14	rinse	n/a	n/a
363.187	2	warning_star	n/a	n/a
365.197	3.5	taste_fm_neu	fm_neu	2
368.697	4	swallow_fm_neu	fm_neu	2
372.719	22.5	judge_fm_neu	fm_neu	2
395.219	1.708	rate_fm_neu	fm_neu	2
399.76	29.14	rinse	n/a	n/a
428.892	2	warning_star	n/a	n/a
430.902	3.5	taste_fc_cap	fc_cap	6
434.402	4	swallow_fc_cap	fc_cap	6
438.424	22.5	judge_fc_cap	fc_cap	6
460.924	1.055	rate_fc_cap	fc_cap	6
464.811	29.14	rinse	n/a	n/a
493.977	2	warning_star	n/a	n/a
495.988	3.5	taste_fm_apr	fm_apr	3
499.488	4	swallow_fm_apr	fm_apr	3
503.51	22.5	judge_fm_apr	fm_apr	3
526.01	1.071	rate_fm_apr	fm_apr	3
529.93	25	rinse	n/a	n/a
574.09	2	warning_star	n/a	n/a
576.1	3.5	taste_fm_neu	fm_neu	2
579.6	4	swallow_fm_neu	fm_neu	2
583.622	22.5	judge_fm_neu	fm_neu	2
606.122	1.659	rate_fm_neu	fm_neu	2
610.646	29.14	rinse	n/a	n/a
639.812	2	warning_star	n/a	n/a
641.822	3.5	taste_fc_ole	fc_ole	3
645.322	4	swallow_fc_ole	fc_ole	3
649.344	22.5	judge_fc_ole	fc_ole	3
671.844	0.753	rate_fc_ole	fc_ole	3
675.446	29.14	rinse	n/a	n/a
704.595	2	warning_star	n/a	n/a
706.606	3.5	taste_fc_peg	fc_peg	4
710.106	4	swallow_fc_peg	fc_peg	4
714.128	22.5	judge_fc_peg	fc_peg	4
736.628	1.507	rate_fc_peg	fc_peg	4
740.984	29.14	rinse	n/a	n/a
770.116	2	warning_star	n/a	n/a
772.126	3.5	taste_fm_van	fm_van	4
775.626	4	swallow_fm_van	fm_van	4
779.649	22.5	judge_fm_van	fm_van	4
802.149	3.45	rate_fm_van	fm_van	4
808.447	25	rinse	n/a	n/a
