onset	duration	stimulus	product	pleasantness
19.333	2	warning_star	n/a	n/a
21.344	7.522	taste_and_swallow_fm_van	fm_van	3
28.866	22.5	judge_fm_van	fm_van	3
51.366	2.328	rate_fm_van	fm_van	3
56.559	29.14	rinse	n/a	n/a
85.725	2	warning_star	n/a	n/a
87.736	7.522	taste_and_swallow_fc_cap	fc_cap	3
95.258	22.5	judge_fc_cap	fc_cap	3
117.758	1.758	rate_fc_cap	fc_cap	3
122.365	29.14	rinse	n/a	n/a
151.497	2	warning_star	n/a	n/a
153.508	7.522	taste_and_swallow_fm_neu	fm_neu	1
161.03	22.5	judge_fm_neu	fm_neu	1
183.53	1.138	rate_fm_neu	fm_neu	1
187.517	29.14	rinse	n/a	n/a
216.633	2	warning_star	n/a	n/a
218.643	7.522	taste_and_swallow_fc_peg	fc_peg	7
226.165	22.5	judge_fc_peg	fc_peg	7
248.665	2.713	rate_fc_peg	fc_peg	7
254.244	25	rinse	n/a	n/a
298.404	2	warning_star	n/a	n/a
300.414	7.522	taste_and_swallow_fc_ole	fc_ole	7
307.936	22.5	judge_fc_ole	fc_ole	7
330.436	3.166	rate_fc_ole	fc_ole	7
336.434	29.14	rinse	n/a	n/a
365.566	2	warning_star	n/a	n/a
367.577	7.522	taste_and_swallow_fm_apr	fm_apr	2
375.099	22.5	judge_fm_apr	fm_apr	2
397.599	2.16	rate_fm_apr	fm_apr	2
402.591	29.14	rinse	n/a	n/a
431.724	2	warning_star	n/a	n/a
433.734	7.522	taste_and_swallow_fm_van	fm_van	2
441.256	22.5	judge_fm_van	fm_van	2
463.756	1.591	rate_fm_van	fm_van	2
468.229	29.14	rinse	n/a	n/a
497.345	2	warning_star	n/a	n/a
499.355	7.522	taste_and_swallow_fc_peg	fc_peg	2
506.878	22.5	judge_fc_peg	fc_peg	2
529.378	1.188	rate_fc_peg	fc_peg	2
533.415	25	rinse	n/a	n/a
577.575	2	warning_star	n/a	n/a
579.585	7.522	taste_and_swallow_fc_ole	fc_ole	5
587.107	22.5	judge_fc_ole	fc_ole	5
609.607	3.015	rate_fc_ole	fc_ole	5
615.471	29.14	rinse	n/a	n/a
644.62	2	warning_star	n/a	n/a
646.631	7.522	taste_and_swallow_fm_neu	fm_neu	1
654.153	22.5	judge_fm_neu	fm_neu	1
676.653	1.306	rate_fm_neu	fm_neu	1
680.808	29.14	rinse	n/a	n/a
709.99	2	warning_star	n/a	n/a
712.001	7.522	taste_and_swallow_fm_apr	fm_apr	2
719.523	22.5	judge_fm_apr	fm_apr	2
742.023	2.529	rate_fm_apr	fm_apr	2
747.401	29.14	rinse	n/a	n/a
776.55	2	warning_star	n/a	n/a
778.56	7.522	taste_and_swallow_fc_cap	fc_cap	5
786.082	22.5	judge_fc_cap	fc_cap	5
808.582	1.072	rate_fc_cap	fc_cap	5
812.503	25	rinse	n/a	n/a
