onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fm_apr	fm_apr	3
28.714	22.5	judge_fm_apr	fm_apr	3
51.214	2.697	rate_fm_apr	fm_apr	3
56.76	29.14	rinse	n/a	n/a
85.909	2	warning_star	n/a	n/a
87.919	7.522	taste_and_swallow_fc_peg	fc_peg	5
95.458	22.5	judge_fc_peg	fc_peg	5
117.958	1.423	rate_fc_peg	fc_peg	5
122.229	29.14	rinse	n/a	n/a
151.363	2	warning_star	n/a	n/a
153.373	7.522	taste_and_swallow_fc_cap	fc_cap	4
160.912	22.5	judge_fc_cap	fc_cap	4
183.412	2.797	rate_fc_cap	fc_cap	4
189.058	29.14	rinse	n/a	n/a
218.207	2	warning_star	n/a	n/a
220.217	7.522	taste_and_swallow_fc_ole	fc_ole	5
227.74	22.5	judge_fc_ole	fc_ole	5
250.24	3.215	rate_fc_ole	fc_ole	5
256.304	25	rinse	n/a	n/a
300.447	2	warning_star	n/a	n/a
302.458	7.522	taste_and_swallow_fm_van	fm_van	1
309.98	22.5	judge_fm_van	fm_van	1
332.48	1.088	rate_fm_van	fm_van	1
336.449	29.14	rinse	n/a	n/a
365.583	2	warning_star	n/a	n/a
367.593	7.522	taste_and_swallow_fm_neu	fm_neu	1
375.115	22.5	judge_fm_neu	fm_neu	1
397.615	1.49	rate_fm_neu	fm_neu	1
401.97	29.14	rinse	n/a	n/a
431.103	2	warning_star	n/a	n/a
433.114	7.522	taste_and_swallow_fc_cap	fc_cap	5
440.636	22.5	judge_fc_cap	fc_cap	5
463.136	0.854	rate_fc_cap	fc_cap	5
466.838	29.14	rinse	n/a	n/a
496.004	2	warning_star	n/a	n/a
498.015	7.522	taste_and_swallow_fm_apr	fm_apr	3
505.537	22.5	judge_fm_apr	fm_apr	3
528.037	1.356	rate_fm_apr	fm_apr	3
532.242	25	rinse	n/a	n/a
576.402	2	warning_star	n/a	n/a
578.412	7.522	taste_and_swallow_fm_neu	fm_neu	1
585.934	22.5	judge_fm_neu	fm_neu	1
608.434	1.843	rate_fm_neu	fm_neu	1
613.108	29.14	rinse	n/a	n/a
642.274	2	warning_star	n/a	n/a
644.285	7.522	taste_and_swallow_fc_ole	fc_ole	6
651.807	22.5	judge_fc_ole	fc_ole	6
674.307	0.853	rate_fc_ole	fc_ole	6
678.008	29.14	rinse	n/a	n/a
707.142	2	warning_star	n/a	n/a
709.152	7.522	taste_and_swallow_fc_peg	fc_peg	7
716.674	22.5	judge_fc_peg	fc_peg	7
739.174	1.474	rate_fc_peg	fc_peg	7
743.497	29.14	rinse	n/a	n/a
772.629	2	warning_star	n/a	n/a
774.639	7.522	taste_and_swallow_fm_van	fm_van	2
782.162	22.5	judge_fm_van	fm_van	2
804.662	1.104	rate_fm_van	fm_van	2
808.599	25	rinse	n/a	n/a
