onset	duration	stimulus	product	pleasantness
19.198	2	warning_star	n/a	n/a
21.208	7.522	taste_and_swallow_fm_apr	fm_apr	3
28.731	22.5	judge_fm_apr	fm_apr	3
51.231	1.49	rate_fm_apr	fm_apr	3
55.62	29.14	rinse	n/a	n/a
84.819	2	warning_star	n/a	n/a
86.829	7.522	taste_and_swallow_fc_cap	fc_cap	6
94.351	22.5	judge_fc_cap	fc_cap	6
116.851	1.189	rate_fc_cap	fc_cap	6
120.889	29.14	rinse	n/a	n/a
150.038	2	warning_star	n/a	n/a
152.048	7.522	taste_and_swallow_fm_van	fm_van	5
159.57	22.5	judge_fm_van	fm_van	5
182.07	2.73	rate_fm_van	fm_van	5
187.649	29.14	rinse	n/a	n/a
216.798	2	warning_star	n/a	n/a
218.809	7.522	taste_and_swallow_fm_neu	fm_neu	4
226.331	22.5	judge_fm_neu	fm_neu	4
248.831	2.529	rate_fm_neu	fm_neu	4
254.225	25	rinse	n/a	n/a
298.385	2	warning_star	n/a	n/a
300.395	7.522	taste_and_swallow_fc_ole	fc_ole	2
307.917	22.5	judge_fc_ole	fc_ole	2
330.417	1.172	rate_fc_ole	fc_ole	2
334.421	29.14	rinse	n/a	n/a
363.587	2	warning_star	n/a	n/a
365.598	7.522	taste_and_swallow_fc_peg	fc_peg	5
373.12	22.5	judge_fc_peg	fc_peg	5
395.62	1.138	rate_fc_peg	fc_peg	5
399.607	29.14	rinse	n/a	n/a
428.756	2	warning_star	n/a	n/a
430.766	7.522	taste_and_swallow_fm_van	fm_van	4
438.288	22.5	judge_fm_van	fm_van	4
460.788	1.105	rate_fm_van	fm_van	4
464.725	29.14	rinse	n/a	n/a
493.891	2	warning_star	n/a	n/a
495.902	7.522	taste_and_swallow_fc_peg	fc_peg	3
503.424	22.5	judge_fc_peg	fc_peg	3
525.924	3.199	rate_fc_peg	fc_peg	3
531.972	25	rinse	n/a	n/a
576.165	2	warning_star	n/a	n/a
578.175	7.522	taste_and_swallow_fc_cap	fc_cap	2
585.697	22.5	judge_fc_cap	fc_cap	2
608.197	1.222	rate_fc_cap	fc_cap	2
612.285	29.14	rinse	n/a	n/a
641.417	2	warning_star	n/a	n/a
643.428	7.522	taste_and_swallow_fc_ole	fc_ole	3
650.95	22.5	judge_fc_ole	fc_ole	3
673.45	0.635	rate_fc_ole	fc_ole	3
676.934	29.14	rinse	n/a	n/a
706.067	2	warning_star	n/a	n/a
708.077	7.522	taste_and_swallow_fm_apr	fm_apr	3
715.599	22.5	judge_fm_apr	fm_apr	3
738.099	0.653	rate_fm_apr	fm_apr	3
741.6	29.14	rinse	n/a	n/a
770.783	2	warning_star	n/a	n/a
772.793	7.522	taste_and_swallow_fm_neu	fm_neu	4
780.315	22.5	judge_fm_neu	fm_neu	4
802.815	1.625	rate_fm_neu	fm_neu	4
807.272	25	rinse	n/a	n/a
