onset	duration	stimulus	product	pleasantness
19.198	2	warning_star	n/a	n/a
21.209	7.522	taste_and_swallow_fm_neu	fm_neu	1
28.731	22.5	judge_fm_neu	fm_neu	1
51.231	1.422	rate_fm_neu	fm_neu	1
55.519	29.14	rinse	n/a	n/a
84.668	2	warning_star	n/a	n/a
86.678	7.522	taste_and_swallow_fc_peg	fc_peg	2
94.2	22.5	judge_fc_peg	fc_peg	2
116.7	1.272	rate_fc_peg	fc_peg	2
120.821	29.14	rinse	n/a	n/a
149.987	2	warning_star	n/a	n/a
151.997	7.522	taste_and_swallow_fc_ole	fc_ole	5
159.519	22.5	judge_fc_ole	fc_ole	5
182.019	0.703	rate_fc_ole	fc_ole	5
185.57	29.14	rinse	n/a	n/a
214.703	2	warning_star	n/a	n/a
216.713	7.522	taste_and_swallow_fm_van	fm_van	2
224.235	22.5	judge_fm_van	fm_van	2
246.735	0.97	rate_fm_van	fm_van	2
250.554	25	rinse	n/a	n/a
294.781	2	warning_star	n/a	n/a
296.791	7.522	taste_and_swallow_fm_apr	fm_apr	4
304.313	22.5	judge_fm_apr	fm_apr	4
326.813	7.906	rate_fm_apr	fm_apr	4
337.585	29.14	rinse	n/a	n/a
366.733	2	warning_star	n/a	n/a
368.744	7.522	taste_and_swallow_fc_cap	fc_cap	7
376.266	22.5	judge_fc_cap	fc_cap	7
398.766	1.473	rate_fc_cap	fc_cap	7
403.105	29.14	rinse	n/a	n/a
432.237	2	warning_star	n/a	n/a
434.247	7.522	taste_and_swallow_fc_ole	fc_ole	3
441.769	22.5	judge_fc_ole	fc_ole	3
464.269	1.356	rate_fc_ole	fc_ole	3
468.49	29.14	rinse	n/a	n/a
497.639	2	warning_star	n/a	n/a
499.65	7.522	taste_and_swallow_fc_cap	fc_cap	7
507.172	22.5	judge_fc_cap	fc_cap	7
529.672	1.474	rate_fc_cap	fc_cap	7
534.01	25	rinse	n/a	n/a
578.153	2	warning_star	n/a	n/a
580.163	7.522	taste_and_swallow_fc_peg	fc_peg	1
587.685	22.5	judge_fc_peg	fc_peg	1
610.185	1.339	rate_fc_peg	fc_peg	1
614.39	29.14	rinse	n/a	n/a
643.556	2	warning_star	n/a	n/a
645.566	7.522	taste_and_swallow_fm_apr	fm_apr	1
653.105	22.5	judge_fm_apr	fm_apr	1
675.605	1.305	rate_fm_apr	fm_apr	1
679.776	29.14	rinse	n/a	n/a
708.941	2	warning_star	n/a	n/a
710.952	7.522	taste_and_swallow_fm_neu	fm_neu	1
718.474	22.5	judge_fm_neu	fm_neu	1
740.974	1.64	rate_fm_neu	fm_neu	1
745.48	29.14	rinse	n/a	n/a
774.629	2	warning_star	n/a	n/a
776.639	7.522	taste_and_swallow_fm_van	fm_van	3
784.161	22.5	judge_fm_van	fm_van	3
806.661	0.87	rate_fm_van	fm_van	3
810.38	25	rinse	n/a	n/a
