onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fc_peg	fc_peg	4
28.714	22.5	judge_fc_peg	fc_peg	4
51.214	3.92	rate_fc_peg	fc_peg	4
58.015	29.14	rinse	n/a	n/a
87.149	2	warning_star	n/a	n/a
89.159	7.522	taste_and_swallow_fm_neu	fm_neu	2
96.698	22.5	judge_fm_neu	fm_neu	2
119.198	8.677	rate_fm_neu	fm_neu	2
130.741	29.14	rinse	n/a	n/a
159.907	2	warning_star	n/a	n/a
161.918	7.522	taste_and_swallow_fc_cap	fc_cap	6
169.441	22.5	judge_fc_cap	fc_cap	6
191.941	2.377	rate_fc_cap	fc_cap	6
197.183	29.14	rinse	n/a	n/a
226.35	2	warning_star	n/a	n/a
228.36	7.522	taste_and_swallow_fm_van	fm_van	1
235.882	22.5	judge_fm_van	fm_van	1
258.382	1.474	rate_fm_van	fm_van	1
262.721	25	rinse	n/a	n/a
306.898	2	warning_star	n/a	n/a
308.908	7.522	taste_and_swallow_fc_ole	fc_ole	5
316.431	22.5	judge_fc_ole	fc_ole	5
338.931	7.337	rate_fc_ole	fc_ole	5
349.132	29.14	rinse	n/a	n/a
378.299	2	warning_star	n/a	n/a
380.31	7.522	taste_and_swallow_fm_apr	fm_apr	3
387.832	22.5	judge_fm_apr	fm_apr	3
410.332	1.122	rate_fm_apr	fm_apr	3
414.302	29.14	rinse	n/a	n/a
443.452	2	warning_star	n/a	n/a
445.462	7.522	taste_and_swallow_fm_van	fm_van	2
452.984	22.5	judge_fm_van	fm_van	2
475.484	2.362	rate_fm_van	fm_van	2
480.71	29.14	rinse	n/a	n/a
509.861	2	warning_star	n/a	n/a
511.871	7.522	taste_and_swallow_fc_peg	fc_peg	3
519.394	22.5	judge_fc_peg	fc_peg	3
541.894	1.288	rate_fc_peg	fc_peg	3
546.031	25	rinse	n/a	n/a
590.158	2	warning_star	n/a	n/a
592.168	7.522	taste_and_swallow_fc_ole	fc_ole	4
599.69	22.5	judge_fc_ole	fc_ole	4
622.19	1.44	rate_fc_ole	fc_ole	4
626.463	29.14	rinse	n/a	n/a
655.612	2	warning_star	n/a	n/a
657.622	7.522	taste_and_swallow_fm_neu	fm_neu	2
665.144	22.5	judge_fm_neu	fm_neu	2
687.644	2.899	rate_fm_neu	fm_neu	2
693.407	29.14	rinse	n/a	n/a
722.557	2	warning_star	n/a	n/a
724.567	7.522	taste_and_swallow_fm_apr	fm_apr	4
732.089	22.5	judge_fm_apr	fm_apr	4
754.589	2.514	rate_fm_apr	fm_apr	4
759.949	29.14	rinse	n/a	n/a
789.083	2	warning_star	n/a	n/a
791.093	7.522	taste_and_swallow_fc_cap	fc_cap	6
798.615	22.5	judge_fc_cap	fc_cap	6
821.115	3.082	rate_fc_cap	fc_cap	6
827.046	25	rinse	n/a	n/a
