onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.193	7.522	taste_and_swallow_fc_cap	fc_cap	5
28.715	22.5	judge_fc_cap	fc_cap	5
51.215	1.507	rate_fc_cap	fc_cap	5
55.554	29.14	rinse	n/a	n/a
84.703	2	warning_star	n/a	n/a
86.714	7.522	taste_and_swallow_fm_van	fm_van	2
94.237	22.5	judge_fm_van	fm_van	2
116.737	1.472	rate_fm_van	fm_van	2
121.058	29.14	rinse	n/a	n/a
150.208	2	warning_star	n/a	n/a
152.218	7.522	taste_and_swallow_fc_ole	fc_ole	5
159.757	22.5	judge_fc_ole	fc_ole	5
182.257	5.712	rate_fc_ole	fc_ole	5
190.818	29.14	rinse	n/a	n/a
219.967	2	warning_star	n/a	n/a
221.977	7.522	taste_and_swallow_fm_apr	fm_apr	3
229.5	22.5	judge_fm_apr	fm_apr	3
252	1.021	rate_fm_apr	fm_apr	3
255.87	25	rinse	n/a	n/a
300.046	2	warning_star	n/a	n/a
302.057	7.522	taste_and_swallow_fm_neu	fm_neu	1
309.579	22.5	judge_fm_neu	fm_neu	1
332.079	1.323	rate_fm_neu	fm_neu	1
336.266	29.14	rinse	n/a	n/a
365.383	2	warning_star	n/a	n/a
367.394	7.522	taste_and_swallow_fc_peg	fc_peg	5
374.916	22.5	judge_fc_peg	fc_peg	5
397.416	4.254	rate_fc_peg	fc_peg	5
404.519	29.14	rinse	n/a	n/a
433.652	2	warning_star	n/a	n/a
435.662	7.522	taste_and_swallow_fm_neu	fm_neu	1
443.184	22.5	judge_fm_neu	fm_neu	1
465.684	1.122	rate_fm_neu	fm_neu	1
469.655	29.14	rinse	n/a	n/a
498.787	2	warning_star	n/a	n/a
500.798	7.522	taste_and_swallow_fm_van	fm_van	4
508.32	22.5	judge_fm_van	fm_van	4
530.82	2.914	rate_fm_van	fm_van	4
536.6	25	rinse	n/a	n/a
580.76	2	warning_star	n/a	n/a
582.77	7.522	taste_and_swallow_fc_ole	fc_ole	5
590.292	22.5	judge_fc_ole	fc_ole	5
612.792	9.096	rate_fc_ole	fc_ole	5
624.737	29.14	rinse	n/a	n/a
653.903	2	warning_star	n/a	n/a
655.914	7.522	taste_and_swallow_fc_cap	fc_cap	6
663.436	22.5	judge_fc_cap	fc_cap	6
685.936	1.759	rate_fc_cap	fc_cap	6
690.543	29.14	rinse	n/a	n/a
719.676	2	warning_star	n/a	n/a
721.686	7.522	taste_and_swallow_fc_peg	fc_peg	6
729.208	22.5	judge_fc_peg	fc_peg	6
751.708	4.389	rate_fc_peg	fc_peg	6
758.946	29.14	rinse	n/a	n/a
788.095	2	warning_star	n/a	n/a
790.105	7.522	taste_and_swallow_fm_apr	fm_apr	2
797.627	22.5	judge_fm_apr	fm_apr	2
820.127	4.071	rate_fm_apr	fm_apr	2
827.063	25	rinse	n/a	n/a
