onset	duration	stimulus	product	pleasantness
19.182	2	warning_star	n/a	n/a
21.192	7.522	taste_and_swallow_fm_van	fm_van	2
28.714	22.5	judge_fm_van	fm_van	2
51.214	1.424	rate_fm_van	fm_van	2
55.487	29.14	rinse	n/a	n/a
84.669	2	warning_star	n/a	n/a
86.68	7.522	taste_and_swallow_fc_cap	fc_cap	5
94.202	22.5	judge_fc_cap	fc_cap	5
116.702	2.412	rate_fc_cap	fc_cap	5
121.963	29.14	rinse	n/a	n/a
151.129	2	warning_star	n/a	n/a
153.139	7.522	taste_and_swallow_fm_neu	fm_neu	1
160.662	22.5	judge_fm_neu	fm_neu	1
183.162	1.205	rate_fm_neu	fm_neu	1
187.215	29.14	rinse	n/a	n/a
216.382	2	warning_star	n/a	n/a
218.392	7.522	taste_and_swallow_fc_peg	fc_peg	6
225.914	22.5	judge_fc_peg	fc_peg	6
248.414	1.356	rate_fc_peg	fc_peg	6
252.636	25	rinse	n/a	n/a
296.829	2	warning_star	n/a	n/a
298.84	7.522	taste_and_swallow_fc_ole	fc_ole	5
306.362	22.5	judge_fc_ole	fc_ole	5
328.862	0.77	rate_fc_ole	fc_ole	5
332.497	29.14	rinse	n/a	n/a
361.647	2	warning_star	n/a	n/a
363.657	7.522	taste_and_swallow_fm_apr	fm_apr	3
371.179	22.5	judge_fm_apr	fm_apr	3
393.679	0.988	rate_fm_apr	fm_apr	3
397.516	29.14	rinse	n/a	n/a
426.682	2	warning_star	n/a	n/a
428.692	7.522	taste_and_swallow_fm_van	fm_van	2
436.214	22.5	judge_fm_van	fm_van	2
458.714	1.29	rate_fm_van	fm_van	2
462.853	29.14	rinse	n/a	n/a
492.019	2	warning_star	n/a	n/a
494.029	7.522	taste_and_swallow_fc_peg	fc_peg	5
501.551	22.5	judge_fc_peg	fc_peg	5
524.051	0.887	rate_fc_peg	fc_peg	5
527.787	25	rinse	n/a	n/a
571.964	2	warning_star	n/a	n/a
573.974	7.522	taste_and_swallow_fc_cap	fc_cap	5
581.497	22.5	judge_fc_cap	fc_cap	5
603.997	1.004	rate_fc_cap	fc_cap	5
607.85	29.14	rinse	n/a	n/a
636.999	2	warning_star	n/a	n/a
639.01	7.522	taste_and_swallow_fm_apr	fm_apr	2
646.532	22.5	judge_fm_apr	fm_apr	2
669.032	1.44	rate_fm_apr	fm_apr	2
673.32	29.14	rinse	n/a	n/a
702.47	2	warning_star	n/a	n/a
704.48	7.522	taste_and_swallow_fm_neu	fm_neu	1
712.002	22.5	judge_fm_neu	fm_neu	1
734.502	1.005	rate_fm_neu	fm_neu	1
738.356	29.14	rinse	n/a	n/a
767.522	2	warning_star	n/a	n/a
769.532	7.522	taste_and_swallow_fc_ole	fc_ole	4
777.054	22.5	judge_fc_ole	fc_ole	4
799.554	0.921	rate_fc_ole	fc_ole	4
803.324	25	rinse	n/a	n/a
