onset	duration	stimulus	product	pleasantness
19.164	2	warning_star	n/a	n/a
21.175	7.522	taste_and_swallow_fc_peg	fc_peg	6
28.714	22.5	judge_fc_peg	fc_peg	6
51.214	3.249	rate_fc_peg	fc_peg	6
57.328	29.14	rinse	n/a	n/a
86.495	2	warning_star	n/a	n/a
88.505	7.522	taste_and_swallow_fm_neu	fm_neu	1
96.044	22.5	judge_fm_neu	fm_neu	1
118.544	1.272	rate_fm_neu	fm_neu	1
122.665	29.14	rinse	n/a	n/a
151.815	2	warning_star	n/a	n/a
153.825	7.522	taste_and_swallow_fc_cap	fc_cap	5
161.348	22.5	judge_fc_cap	fc_cap	5
183.848	0.501	rate_fc_cap	fc_cap	5
187.198	29.14	rinse	n/a	n/a
216.331	2	warning_star	n/a	n/a
218.341	7.522	taste_and_swallow_fm_van	fm_van	1
225.864	22.5	judge_fm_van	fm_van	1
248.364	1.355	rate_fm_van	fm_van	1
252.568	25	rinse	n/a	n/a
296.711	2	warning_star	n/a	n/a
298.722	7.522	taste_and_swallow_fc_ole	fc_ole	5
306.261	22.5	judge_fc_ole	fc_ole	5
328.761	0.719	rate_fc_ole	fc_ole	5
332.329	29.14	rinse	n/a	n/a
361.495	2	warning_star	n/a	n/a
363.506	7.522	taste_and_swallow_fm_apr	fm_apr	3
371.028	22.5	judge_fm_apr	fm_apr	3
393.528	1.289	rate_fm_apr	fm_apr	3
397.649	29.14	rinse	n/a	n/a
426.798	2	warning_star	n/a	n/a
428.809	7.522	taste_and_swallow_fm_van	fm_van	1
436.331	22.5	judge_fm_van	fm_van	1
458.831	2.11	rate_fm_van	fm_van	1
463.79	29.14	rinse	n/a	n/a
492.923	2	warning_star	n/a	n/a
494.933	7.522	taste_and_swallow_fc_peg	fc_peg	5
502.455	22.5	judge_fc_peg	fc_peg	5
524.955	2.345	rate_fc_peg	fc_peg	5
530.132	25	rinse	n/a	n/a
574.275	2	warning_star	n/a	n/a
576.286	7.522	taste_and_swallow_fc_ole	fc_ole	6
583.808	22.5	judge_fc_ole	fc_ole	6
606.308	2.395	rate_fc_ole	fc_ole	6
611.535	29.14	rinse	n/a	n/a
640.651	2	warning_star	n/a	n/a
642.661	7.522	taste_and_swallow_fm_neu	fm_neu	1
650.183	22.5	judge_fm_neu	fm_neu	1
672.683	1.172	rate_fm_neu	fm_neu	1
676.721	29.14	rinse	n/a	n/a
705.87	2	warning_star	n/a	n/a
707.88	7.522	taste_and_swallow_fm_apr	fm_apr	5
715.403	22.5	judge_fm_apr	fm_apr	5
737.903	0.451	rate_fm_apr	fm_apr	5
741.203	29.14	rinse	n/a	n/a
770.369	2	warning_star	n/a	n/a
772.38	7.522	taste_and_swallow_fc_cap	fc_cap	4
779.902	22.5	judge_fc_cap	fc_cap	4
802.402	1.724	rate_fc_cap	fc_cap	4
806.975	25	rinse	n/a	n/a
